,id,text,sentiment_text
0,715975434165481473,Sounds of Nature #Nature #Spring #chessapeakebayretriever #outdoors @ Thunder Bay Beach https://t.co/QE5FD9KSHE,Sounds of Nature Thunder Bay Beach 
1,716339534481514501,"Spring is here, and these gorgeous ones are going to make it amazing around. #nature #spring... https://t.co/a4vjuPTr0r",Spring is here and these gorgeous ones are going to make it amazing around. . 
2,493758465077420032,When I grow up I want to be paid to go cool places and make new friends while traveling the world with my sister,When I grow up I want to be paid to go cool places and make new friends while traveling the world with my sister
3,716290740645572609,Then this view happened!!! #niagarafalls #beauty #nature #view #canada #itworkspaidforit @... https://t.co/H1sAt7lZFH,Then this view happened . 
4,716299880331919362,Promise of spring? #flower  #plant #flowerstagram #spring #season #blossom #nature... https://t.co/gTBtuqrNQ6,Promise of spring . 
5,644293144566235136,I see the rainbow *****#niagarafalls #caveofthewinds #holiday #travelgram #yellow #kuning... https://t.co/yi4S3HcgE2,I see the rainbow . 
6,718219826737606658,#tbt to last week when I had the pool at the hotel in niagara all to myself.  Somehow I forgot... https://t.co/ms34O76GfP,to last week when I had the pool at the hotel in niagara all to myself. Somehow I forgot. 
7,717108259371532288,Trees and snow #park #nature #view #snowy #snowyday #niagaraparks #niagara #ontario #canada @... https://t.co/nlox0v5OIT,Trees and snow . 
8,717118301235781632,A bright day #view #views #nature #naturephotography niagara #niagarafalls #ontario #canada... https://t.co/j7JjFpL0K8,A bright day niagara . 
9,718118969761079296,Is there a job where I can just get paid to travel and eat?,Is there a job where I can just get paid to travel and eat
