,id,text,sentiment_text
0,553378535227031552,When you can see america from your hotel  http://t.co/3A0rPytf2R,When you can see america from your hotel 
1,945521201811808256,And that is a wrap. Another Christmas in the books. Thanks for spending your holiday with us on... https://t.co/VnyCzVvzIP,And that is a wrap. Another Christmas in the books. Thanks for spending your holiday with us on. 
2,946151019381186560,Winter Dayz. On vacation and playing around with video. Let me know what you think!#cycling... https://t.co/kXMl9cgTGb,Winter Dayz. On vacation and playing around with video. Let me know what you think. 
3,552902548407861248,ATTENTION: we just booked a second room for spring break at our hotel in PCB. We need three more people to tag along for the fun! #HitMeUpYo,ATTENTION we just booked a second room for spring break at our hotel in PCB. We need three more people to tag along for the fun 
4,945121960291336192,"Some people have big family parties, some have engagements, marriages or kids.. Some travel... https://t.co/g3FwjrSYU8",Some people have big family parties some have engagements marriages or kids. Some travel. 
5,945725428693635072,"Winter snow-fun pictures. Get out and enjoy nature! #snowfun #nature #martialarts @ Dunnville,... https://t.co/AGXLpjoxso",Winter snowfun pictures. Get out and enjoy nature Dunnville. 
6,945301979357761537,"Agreed. If you interact with anyone who is on the job today, thank them for working on a holiday. https://t.co/E06ZbIRoqY",Agreed. If you interact with anyone who is on the job today thank them for working on a holiday. 
7,945445368975814656,no post walk #regrets #nature #fallenleaves #xperia @ St. Catharines https://t.co/K5UMuLdKWS,no post walk St. Catharines 
8,944954933148762114,"We will be closed today and tomorrow (12/24,25). Enjoy the holiday and we will have hot soup for... https://t.co/UAxuaKmUIh",We will be closed today and tomorrow . Enjoy the holiday and we will have hot soup for. 
9,553015078728257536,"""@PoemHeaven: I need a friend who is willing to travel the world with me [?] http://t.co/5e05l6Bh7H"" a friend or a lover", I need a friend who is willing to travel the world with me a friend or a lover
