,id,text,sentiment_text
0,862839362685464576,Niagara Falls | 2..#niagarafalls #ontario #canada#quebec#travel#holiday#tourist... https://t.co/2UqeSL4Wbj,Niagara Falls .quebecholiday. 
1,1019339467545567232,Went to a zoo and a splash pad appeared.  #slomo #safariniagara #vacation jilllorber @zachlorber @ Safari Niagara -... https://t.co/djOssKZHLk,Went to a zoo and a splash pad appeared. jillorber Safari Niagara . 
2,862873659869986819,Squirrel-friend #HumanFriendly #nature #Niagara #Squirrel #Moment #friendly #Canon @ Niagara... https://t.co/0ySTEfskYT,Squirrelfriend Niagara. 
3,863253163700301824,"where is my acorn???  #Squirrel #Nature #animal #Niagara #NY #HumanFriendly @ Niagara Falls,... https://t.co/3t5cZv0ZQe",where is my acorn Niagara Falls. 
4,1019611527601709057,Niagara Falls Canada! I am at the White Water Walk. The waters are so blue and pristine. God is so amazing! #travel... https://t.co/JGXrM8GyTg,Niagara Falls Canada I am at the White Water Walk. The waters are so blue and pristine. God is so amazing . 
5,1019788020990562305,"Niagara Falls in Ontario, Canada! This is the Hornblower Cruise! Very intense! #travel #traveling #travelinfluencer... https://t.co/98FUG2481B",Niagara Falls in Ontario Canada This the Hornblower Cruise Very intense . 
6,1019341825591709704,More #splashpad fun in #slomo safariniagara with jilllorber  @zachlorber and kids! #adventure #waterfun... https://t.co/8wGOjYERj7,More fun in safariniagara with jillorber and kids . 
7,862830351600631808,'sunday' #nightphotography #longexposure #exploring #wanderer #wanderlust #dairyqueen... https://t.co/dsj09adUyI,unday . 
8,1017864106949447681,Niagara Falls 2015 #canada  #ontario #waterfalls #travel #travelgram #instatravel #trip #travelling... https://t.co/N95Ccnwif8,Niagara Falls . 
9,1019354333345992706,When Canada will not let you in adamvonritter #canada #niagrafalls #tourlife #funny #travel #adventure #goodtimes... https://t.co/sFQbsjgasJ,When Canada will not let you in adamvonritter . 
