,id,text
0,466011391485169664,Life's all about the adventure
1,464918498381426688,""" Should it be at a hotel or a house party?housee"
2,465968529125019649,Went on another adventure today with my girls [?]
3,465330665697734656,Who wants to go on adventure
4,465582560928858112,I am not sure why mom does not like me but today is her holiday and I will respect her preference
5,464181552831033344,All I want to do is travel the world and see beautiful places [?]
6,465164141171589120,Me trying to shop at wegmans right now is an adventure to say the least. where is the god damn milk
7,464238927831126016,I really need to travel and play Sawgrass at least once
8,464408644680183808,I just want to go on vacation and be tan and sleep on the beach
9,465970956079730688,I want to go on a blading adventure rn
