,id,text,sentiment_text
0,762285263389417473,Tourism or #pilgrimage - sometimes it is a little tough to distinguish. The #vacation is not over... https://t.co/BG66n1TVFP,Tourism or sometimes it is a little tough to distinguish. The is not over. 
1,762072806691483653,let us get this vacation started - except for G and he goes to... https://t.co/G7yOD5aytG,let us get this vacation started except for G and he goes to. 
2,762392488535621633,#VIEWS: The 8th wonder of the world #NiagaraFalls #Latergram #Nature #Rainbow #Ontario @ Niagara... https://t.co/CNqkzFH039, The th wonder of the world Niagara. 
3,762800012061466624,Just hanging around at the wax museum...#niagarafalls #fun #family #toronto #vacation @ Canada... https://t.co/v6UaqXi0B0,Just hanging around at the wax museum. Canada. 
4,762334853698297858,American and Bridal Veil Falls #nofilterneeded #naturephotography #nature #experiencenature... https://t.co/ewsHVTy1xs,American and Bridal Veil Falls . 
5,762153880176123904,Nature at its best [?] @ The Living Water Wayside Chapel https://t.co/jqTM9WIpd3,Nature at its best The Living Water Wayside Chapel 
6,762048958948446209,Fort Niagara demonstration. #travel #Niagara #NewYork @ Fort Niagara... https://t.co/qas9B76c7I,Fort Niagara demonstration. Fort Niagara. 
7,762370185684586496,Where the water flows into the falls #travel #Niagara #NewYork @... https://t.co/iNixlfdLgb,Where the water flows into the falls . 
8,763098324442513408,Was a mango-berry cooler #workoutsjust4u #holiday #hardrockcafe... https://t.co/ScHnF73D89,Was a mangoberry cooler . 
9,762450692292251650,"Floating in @mywelland #vacation #moments #bridge13 ~ #photo by jEb @ Welland, Ontario https://t.co/SUrt3sBN44",Floating in by jEb Welland Ontario 
