,id,text,sentiment_text
0,705194837155438592,PILLOW FORT!!! #VoiceOver #VoiceActor #VoiceArtist #VoiceTalent  #travel #adventure @ Hampton... https://t.co/PHYnCCScYk,PILLOW FORT Hampton. 
1,705063336254283776,"Travelling is amazing, but with friends, it gets even better ! #grammasters3 #travel #friends... https://t.co/whKjXHbQdq",Travelling is amazing but with friends it gets even better . 
2,565601835738996738,"I feel like I have lived my whole life already, all I have got left to do is travel.. it is all I think about honestly",I feel like I have lived my whole life already all I have got left to do is travel. it is all I think about honestly
3,566276581434597376,Read up on what I #learned on my mini #roadtrip through #Alberta's #RockyMountains: http://t.co/ThZbmAs5Gc #travel #girlstravel,Read up on what I on my mini through s 
4,567384142485393409,In serious need of a vacation [?],In serious need of a vacation 
5,565370157070319617,**goes on vacation** forgets you have a life at home,goes on vacation forgets you have a life at home
6,566655388360404992,I hate this holiday,I hate this holiday
7,705071959948857344,Loving the look of the ice in our tree. #icestorm #nature #weather #ice @ Symphony Circle https://t.co/fUcd9wALWc,Loving the look of the ice in our tree. Symphony Circle 
8,567684481747013632,So jealous of everyone on vacation,So jealous of everyone on vacation
9,566622878884724736,Soo jealous of everyone going on vacation this week,Soo jealous of everyone going on vacation this week
