,id,text
0,603278566554468355,The best way to go back to school after vacation is to not go back to school at all. @ Skyzone.
1,602495961953337344,"want to get away, baby let me be you are vacation"
2,634394973761368064,"Throwback to the beautiful @ Niagara Falls, Canadian Side"
3,602971615392100352,"When is a good time to leave a hotel? When you are room is falling down around you, when the staff is."
4,634063263588876289,Butterfly's everywhere! .
5,634082882265444352,"On today's micro-adventure, we explored Royalton Ravine but took a moment to cool down in the creek."
6,602945811429863424,Yonge Dundas Square. @.
7,635501862653947904,"Traveling again. (@ Buffalo Niagara International Airport (BUF) in Cheektowaga, NY)"
8,602900460215861248,When all else fails look to nature it will always be there for you.inspire you & make you smile.
9,633794571802144768,"Up close and personal, we in the Valley yet? @ Holiday & Leisure Rinks"
