,id,text,sentiment_text
0,888253368946143232,Beauty of Nature #niagarafalls #niagaraonthelake #nature #natureview #waterview... https://t.co/DUXCB6Zs8Z,Beauty of Nature . 
1,466182712538058752,#coke in #united #flight to #nyc . It tastes a bit #different.  #iloveny #usa #travel @ Town of... http://t.co/1jEPLs3w0C,in to . It tastes a bit Town of. 
2,465970956079730688,I want to go on a blading adventure rn,I want to go on a blading adventure rn
3,888522878257426433,Hotel Henry in Buffalo#hotelhenry #buffalo #USA #hotel #asylum #corridor #newyorkstate #morning... https://t.co/9XQjGUMa1s,Hotel Henry in Buffalo. 
4,888293175831404545,Our trip to Niagara Falls  #stunning #amazing #canada #vacation #havingfun #love #sister... https://t.co/DCdl4UrYjB,Our trip to Niagara Falls . 
5,466011391485169664,Life's all about the adventure,Life all about the adventure
6,888544752106221569,#braids #braidstyles #updo #protectivestyles #vacation #vacationhair #lastweekend #iforgottopost... https://t.co/fCiigkBewg,. 
7,465968529125019649,Went on another adventure today with my girls [?] http://t.co/uaHm6Gq1wf,Went on another adventure today with my girls 
8,888817312287006720,"Diane Bertolo, The End of Nature is Nature, 2012-2017, at Burchfield Penney Art Center, Buffalo,... https://t.co/qONwXM9vGV",Diane Bertolo The End of Nature is Nature at Burchfield Penney Art Center Buffalo. 
9,465582560928858112,I am not sure why my mom does not like me but today is her holiday and I will respect her preference,I am not sure why mom does not like me but today is her holiday and I will respect her preference
