,id,text
0,714120304038187008,Brunch with a view .
1,714996730534690816,Always nice to see Clevelanders while on Vacation this the Williams family .
2,714261869926567936,Journey Behind the Falls .
3,713934957031194625,Where else would my family besides the bar on a holiday? @ Doc.
4,713796737517883393,"""Sure, give me an adventure and I will ride it.""- Melissa Auf der Maur."
5,713545798907199488,Goofing off. .
6,714227937680220160,"Buffalo was full of sunshine today, welcome spring. ."
7,713567541445038080,Love Lights @ Niagara Falls
8,713942211944120321,Lake Earie. .
9,714177687967891458,@ International.
