,id,text,sentiment_text
0,466531843249291264,I am sure @MSutovsky is enjoying his vacation but would not have minded writing this B4YouGo. http://t.co/GxIuErlFKw,I am sure is enjoying his vacation but would not have minded writing this BYouGo.
1,466651273497165824,I am ready for life today like. let us hike or go on an adventure and shit. And get DeDees.,I am ready for life today like. let us hike or go on adventure and shit. And get Dees.
2,468064928654692352,Maybe after the BBQ get some people together and go on an adventure?,Maybe after the BBQ get some people together and go on adventure
3,467735717511045121,I need a vacation away from Niagara Falls  and by vacation I mean permanently.,I need a vacation away from Niagara Falls and by vacation I mean permanently.
4,466967767019950080,Miss America is staying in our hotel. So there is that,Miss America is staying in our hotel. So there is that
5,466963471557742592,Generals look to get back in the win column tonight as they travel to NOTL to play the Thunderhawks at 7:30pm #OJBLL,Generals look to get back in the win column tonight as they travel to NOTL to play the Thunderhawks at pm
6,468115241801633792,I want to go on an adventure!,I want to go on adventure
7,467474510728687616,Any girls tryn to get weird tonight? Text me I will tell you the hotel and wat room.,Any girls tryn to get weird tonight Text me I will tell you the hotel and wat room.
8,467372185464868864,Who in kenmore/ tonawanda wants to go on an adventure with @GraceFredricks and I?,Who in kenmore tonawanda wants to go on adventure with and I
9,467921169124184064,I want to adventure,I want to adventure
