,id,text,sentiment_text
0,793643164720660480,New holiday artisan buttons are ready to go for this weekend!!!**#handmademarket... https://t.co/n6G52VuXup,New holiday artisan buttons are ready to go for this weekend. 
1,535438582509760512,Day 3 of the travel ban. I want to go to work. I want to get hit by a plow,Day of the travel ban. I want to go to work. I want to get hit by a plow
2,534894881458900992,I love you ! Your one of the craziest girls I have ever met.i always think of the time we stayed at the hotel for the week .,I love you Your one of the craziest girls I have ever met.i always think of the time we stayed at the hotel for the week .
3,793828856398434305,#ParkSchoolOfBuffalo student Daniel is enjoying the beautiful campus while completing his nature... https://t.co/5TUlrbABnl,student Daniel is enjoying the beautiful campus while completing his nature. 
4,535136449835057152,I wish I had a snow suit so I can go out on an adventure [?][?][?],I wish I had a snow suit so I can go out on adventure 
5,535468155867766784,Day 2 at a hotel for me and Kevin during #SNOWvember! Love that they watch @WGRZ in the Mgt office @HyattHotels1 http://t.co/CbYGScdPG1,Day at a hotel for me and Kevin during Love that they watch in the Mgt office 
6,536729615596027905,The human spirit needs places where nature has not been rearranged by the hand of man.,The human spirit needs places where nature has not been rearranged by the hand of man.
7,535286011367280640,Someone come pick me up I want to go on an adventure,Someone come pick me up I want to go on adventure
8,535506089748742147,"there is no point in going to school for a half day, just cancel now considering half the students have a travel ban",there is no point in going to school for a half day just cancel now considering half the students have a travel ban
9,535219658602082304,"Gentle, beautiful prose - The Lifecycle of Butterflies http://t.co/qmdZ6oCiH8 @VelaMag #travel #writing #inspiration",Gentle beautiful prose The Lifecycle of Butterflies 
