,id,text
0,458943959126274048,so for the past two days we have learned about mrs Barrett's vacation. I do not care
1,460846185365123072,Hotel is officially booked.
2,460496123774238720,I want to travel the world when I am older
3,460582397403074560,from to .
4,460604262515757056,Went to Niagara Falls to meet and could not find him but it was a great adventure with Nicole and
5,460273933628219392,Always an adventure when we are together
6,460168222810333184,Honestly just looking for someone to adventure with and who will make me feel okay
7,459293938113708033,Parents are officially gone for vacation
8,459534892028944385,The night sky is memorizing. I miss being in nature.
9,460496715938672640,let us go on adventure.
