,id,text
0,736286398102142976,Nature's beauty at its best. .
1,736973605800677377,Followed the rainbow to Horseshoe Falls @.
2,736375366789517312,what is on the other side? .
3,736682977179078656,@.
4,737275644254507008,Out for an @ Town of Lockport Nature Trail
5,910965475999457282,Such lovely inspiration this morning's walk.
6,737598953651200001,Just posted a photo @ Hotel at The Lafayette
7,910492158766878720,there is a whole city to and the only thing wants to explore is the hotel.
8,910928238930796544,The things you see when traveling! A pet coyote! He also had a part shepherd/part wolf but he.
9,910897562588254210,I am having a love affair with nature! I absolutely love to explore new places and enjoy being.
