,id,text
0,583240007542054913,"SCOWWA Conference (at Hotel & Suites in St. Catharines, ON)"
1,585467923818487808,There are so many places I want to go this summer. Why cannot traveling be free
2,583631119616233474,Get to travel to Jamestown NY for work today.
3,583247659798044672,I would get sick the week I leave for vacation
4,583378477723844608,if traveling was free you would nevvaa see me again
5,583313213997080576,Best way to not forget anything when going on vacation:Bring everything.
6,583360093351198720,The Skunk Cabbage is starting to emerge through the snow at
7,585252184767524864,My poor wife who has to deal with me. Pegula should send her on a vacation.
8,583579979520286720,"there is a high of today so quit your bitching about not going on vacation, it is warm outside!"
9,585217146315210753,I just went on a whole half hour quest to deeply understand hotel California lmao what am I doing with my life
