,id,text
0,1047858741952098309,"But still. nature. @ Niagara Falls, Ontario"
1,1047254917415616514,An inspiring groundbreaking of the s Natural Playground and Healing Garden. Play and nature are healin.
2,1046714097528700928,Experience Nature. Where is your favorite nature spot? Go. EnJOY. Today. .
3,1047531658281439232,"@ Amherst, New York"
4,1045801110169112579,"Danielle went pretty far to get some cool temps. Thx for traveling with The Wander Scarf. , daniellechehimi . Y."
5,1046473391509667840,"Fall is life. @ Niagara-On-The-Lake, Ontario"
6,1047343054347259904,"Catching Celebi at Burchfield Nature & Art Center. pokemongoapp Yes, I am a nerd, so what."
7,1047974302392492032,Wife-O's th Anniversary Dinner for Catholic Health (@ Hyatt Regency Buffalo / Hotel and Conference Center in Buff.
8,1046163582470238213,"Weekend getaway! I am going to be posting A LOT of photos! Oh, and quite possibly a new vlog on the."
9,418175422245781504,""" Such a lame"" Oh im sorry I could not travel to the moon and taste the rocks on Mars. did you have a life?"
