,id,text,sentiment_text
0,700755115041423361,The great white field #snow #snowfall #winter #cold #field #nature #natureperfection #natureporn... https://t.co/V4CfFL2RHZ,The great white field .
1,701257363311886336,Enjoying a wonderful walk at the fall #niagarafalls #vacation... https://t.co/209W6Jr1eq,Enjoying a wonderful walk at the fall .
2,700914568864907264,Niagara Falls at night #niagarafalls #Niagara #nightimefun #night #adventure #trip #roadtrip... https://t.co/tzYDXgHnKw,Niagara Falls at night .
3,656118351035506689,"Your deepest roots are in nature.  No matter who you are, where you live,... https://t.co/qGOiuzXmK7",Your deepest roots are in nature. No matter who you are where you live.
4,701284073294184448,The warmest cold... #winter #nature #walk #peaceful ~> #photo by jEb @ St. John's Conservation Area https://t.co/Q1BX7UAz5x,The warmest cold. by jEb St. Johns Conservation Area
5,656608641626284033,Nothing like being back in Canada! (Hopefully I still feel that way in 4 years.)#vacation #exln42,Nothing like being back in Canada Hopefully I still feel that way in years.
6,700917552659169284,The gushing rapids #rapids #Niagara #niagarafalls #adventure #nightimefun #nights #roadtrip... https://t.co/WCsawDAqDg,The gushing rapids .
7,701058903468015616,"Beautiful Niagara Falls, #fallsview ..#nature #sky #sun #summer #beach #beautiful #pretty... https://t.co/2VFgDsjyxc",Beautiful Niagara Falls .
8,701256585494933504,Me trying to bug Aaron for a cute photo #niagarafalls #vacation... https://t.co/iFjf9iC4Bv,Me trying to bug Aaron for a cute photo .
9,655803210230173697,Nature is better than therapy #niagarafalls #nature #waterfall #canada #newyork #buffalo... https://t.co/fXDPqXojUl,Nature is better than therapy .
