,id,text,sentiment_text
0,696144278439927808,#swallowing a #rainbow at #niagarafalls lol  #rainbows #nature #Canada @ Niagara Falls https://t.co/4Kg9OPojZD,a at lol Niagara Falls
1,696385446419505152,Niagara Falls #niagarafalls #travel #vscocam @ Niagara Falls https://t.co/anpYvrUddN,Niagara Falls Niagara Falls
2,696036278115164160,Buffalo lighting #hereandtheremag #travel #enroute #jetblue @ Buffalo Niagara International Airport https://t.co/UnMFRhwlkR,Buffalo lighting Buffalo Niagara International Airport
3,806726675773853697,"The difference between Niagara and Viagra is that, NIAGARA FALLS......#Travel #TBT... https://t.co/eQktsHNTDf",The difference between Niagara and Viagra is that NIAGARA FALLS.
4,696364669271830528,#purple is #love [?] last day of #birthday vacation  #upsidedownhouse #happiness #unique #cool... https://t.co/zrDo0zuvvP,is last day of vacation .
5,696386000931704832,Amazed akong feeling ron ... #vscocam #niagarafalls #canada #travel @ Niagara Falls https://t.co/osqbKv4CcE,Amazed akong feeling ron . Niagara Falls
6,696085396908699648,#rainbow #nature #niagarafalls #niagara #water #waterfalls #ontario #canada @ Niagara Falls https://t.co/J15hF6vbCp,Niagara Falls
7,697510599740227585,So till last night this was all clear. #snow #snowfall #snowy #winter #season #nature... https://t.co/PDosPwjS46,So till last night this was all clear. .
8,695609563907813376,"Time to work off my vacation at CycleFit #PayBack (@ YMCA Welland in Welland, Ontario) https://t.co/gUJQrG7zLG",Time to work off my vacation at CycleFit YMCA Welland in Welland Ontario
9,697754092102406144,#tbt to #niagarafalls c.2011#travel #holiday #Canada #USA #view #niagara #water #america... https://t.co/r7vajSHlfI,to c.
