,id,text,sentiment_text
0,575456234943348736,"When I tell my customers I am going on a vacation to back home they think I am go train for Isis ?, smh",When I tell my customers I am going on a vacation to back home they think I am go train for Isis smh
1,576089466164666368,The sunshine is making me miss #hiking through #GrosMorne! http://t.co/4aFrwmsnoW #travel #travelblog #tbt #ThrowbackThursday,The sunshine is making me miss through 
2,749613789096644609,My first day of vacation ! #sun #coffee #triathlontraining #fun #healthyfoodshopping #aldi... https://t.co/4FHIGD5Z4S,My first day of vacation . 
3,575669885281374209,Fall enough times and it will become second nature to bounce back up and keep on going,Fall enough times and it will become second nature to bounce back up and keep on going
4,750184592741634048,Fractals in nature 6 https://t.co/v1GFA72C0T,Fractals in nature 
5,575478364015714304,"Sometimes I feel suffocated in this life I live, I just want to break free of it. I always have this drive to work harder and travel more.[?][?]",Sometimes I feel suffocated in this life I live I just want to break free of it. I always have this drive to work harder and travel more.
6,751179723053625345,#Family #Vacation with the Emery James Battiest! #NiagaraFalls #NewYork #Wednesday #Fun #Peace... https://t.co/WeQXsVcxa5,with the Emery James Battiest . 
7,751157181714694144,"So about my next adventure.... Joseph and his ""Mysterious"" Technicolor Dreamcoat is going to... https://t.co/dIDJpjUeaC",So about my next adventure. Joseph and his Mysterious Technicolor Dreamcoat is going to. 
8,750005909401677824,Dappled morning. --#trees #woods #light #sunlight #nature #green #outdoors #getoutside... https://t.co/oUhDsycZLv,Dappled morning. . 
9,575646545024020480,"Choose a hotel in #Buffalo, #NewYork here! http://t.co/QuTYTV3L6S",Choose a hotel in here 
