,id,text
0,932982123144863746,No table is complete without a fresh loaf of homemade Whether you prefer sweet.
1,933192751474020352,Cookie dough donut. .
2,949604263889723392,Niagara Falls .
3,933194172822986752,St. Catharines alleys ..
4,949302006560317441,"Buffalo at night @ Buffalo, New York"
5,932569963763785728,"Vacation has begun, Road Tripping! NYC here we come (@ Queenston-Lewiston Duty Free Shop in Niagara Falls, ON)"
6,933560854263554048,"Definitely not the type of I am use to (@ Hyatt Regency Buffalo / Hotel and Conference Center in Buffalo, NY)"
7,949782645508050944,Adventures through Narnia @ Town of Lockport Nature Trail
8,949786912822366208,"Niagara falls, USA side ."
9,933139483708473344,Pt. Travel My Love for Acoustic EP. .
